word,count
4ba712101,1
imdb,1
times,2
find,1
ides,1
in,127
competition,1
ai,20
matching,2
timings,1
ng,67
cuda,1
blogging,1
web,4
docker,1
pandas,3
backend,1
dec,4
artificial,1
software,1
ui,6
sentiment,1
retrieve,1
professor,2
each,4
foundations,1
services,1
vgg,1
algorithms,5
university,1
contextual,2
g,127
textblob,1
apr,2
at,61
poc,1
based,4
paper,1
dataset,2
implementations,1
jupyternb,1
r,272
vectorization,1
electronics,1
simplifai,1
statistical,1
studio,1
edx,2
text,5
automated,2
intro,1
alexnet,1
pavlov,2
traditional,2
to,22
batch,1
feature,1
andrew,1
keywords,2
python,13
phd,1
language,3
nvidia,1
stanford,2
pretrained,1
notebook,2
database,1
calls,1
tool,2
digital,1
passage,2
yaml,1
final,1
kaggle,2
io,35
ml,6
education,1
hackerrank,1
francis,1
word2vec,5
results,1
reduced,1
benchmarking,1
netflix,2
linear,2
pycharm,1
python3,1
inference,2
visual,3
highly,1
tools,1
of,9
numpy,1
familiar,1
tulsibag,1
matplotlib,2
sec,1
18,1
real,1
special,1
algorithm,6
tf,3
coursework,1
sep,2
api,3
order,2
answering,2
suresh,6
science,3
statistics,1
chollet,1
nov,1
model,9
ec2,2
engine,5
models,5
given,1
regex,2
layer,1
nltk,1
19,7
cosine,1
jan,1
coursera,1
multiple,3
pypdf2,1
com,8
domain,1
full,1
retrieval,2
categorization,1
calculate,1
created,2
demonstrated,1
script,1
jul,2
storing,1
sklearn,1
telecommunication,1
areas,1
shell,1
searches,1
learn,16
google,1
pipeline,3
exceptions,1
technical,1
scores,1
on,72
courses,1
tree,1
report,1
rule,3
freelancing,1
learning,14
20,15
data,14
assistant,4
method,1
2019,1
teaching,2
course,4
insurance,1
india,5
stack,1
linux,1
apache,2
nlp,9
ensemble,1
languages,2
pune,11
are,3
categorized,1
search,13
clients,1
which,2
fields,1
firm,2
customized,1
framework,1
for,20
embedding,1
html,2
7,2
mining,3
training,6
same,1
github,4
match,3
sql,3
students,1
aug,4
jupyter,2
norwegian,3
comprehension,1
optimization,1
by,3
space,1
observatory,1
redesigning,1
closed,1
heroku,2
certificates,1
spacy,1
logging,2
along,1
code,3
projects,1
metrics,2
equations,1
corenlp,1
started,1
sqlite3,1
files,1
programmer,1
experienced,1
emr,2
probability,1
differential,1
regression,1
used,2
local,1
sonwanesuresh95,4
performance,1
pymysql,1
e,452
strongest,1
wikipedia,1
undergrad,1
ingested,1
receipts,1
oct,1
machine,8
according,1
pdf,4
opencv,1
org,2
aws,5
trained,5
website,2
experience,2
non,1
c,177
that,1
college,1
preparation,1
gmail,1
emailbot,1
mar,6
intern,1
deeppavlov,1
information,3
achievements,1
pipelines,1
invoices,1
evaluation,2
scikit,1
between,1
flask,5
engineering,2
tensorflow,3
with,2
amazon,1
visualization,2
deployment,1
key,4
teach,3
and,19
year,1
5,8
developed,1
built,4
14,1
keyword,3
may,1
a,358
vector,3
business,2
project,6
herokuapp,1
perceptron,1
sonwane,6
star,2
microsoft,1
min,5
benchmarked,2
application,3
codebase,1
structures,2
sept,1
question,2
email,4
including,1
orders,1
top,2
movies,1
skills,1
uses,1
skncoe,2
the,5
passages,1
from,3
deep,7
logs,2
udacity,1
worked,5
keras,3
net,4
building,1
design,2
returns,1
libraries,1
descending,1
query,3
purposes,1
system,4
wrote,3
reading,1
pre,6
generates,1
linkedin,2
records,2
ranked,1
saving,1
gensim,3
15,2
classification,6
fretex,2
semantically,1
page,1
21,2
apis,1
techniques,1
intelligence,1
using,6
optimized,1
my,2
all,3
idf,1
spark,4
similar,3
world,1
pyspark,1
preprocessing,2
bachelor,1
similarity,2
research,4
serving,1
elasticsearch,3
counting,1
into,1
